Date,Market Share,Competitor TDP,AB TDP,Sales,Marketing,S&P_Package,Sales and Marketing Pakage,NR,SnM/NR,SalesM/HL_lag1,SalesM/HL_lag2,SalesM/HL_lag3,SalesM/HL_lag4,SalesM/HL_lag5,SalesM/HL_lag6,SalesM/HL_lag12,SnM_lag1,SnM_lag2,SnM_lag3,SnM_lag4,SnM_lag5,SnP_lag6,SnP_lag12,Total Vol AB STR,SnM/HL
01/01/2018,48,17453,6543,-23918,-77663,-101581,101.581,877887.1157,115.7107767,115.7107767,115.7107767,115.7107767,115.7107767,115.7107767,115.7107767,115.7107767,101.581,101.581,101.581,101.581,101.581,101.581,101.581,6984,15
01/02/2018,47,16264,5951,-22768,-73690,-96458,96.458,850434.0996,113.4220747,115.7107767,113.4220747,113.4220747,113.4220747,113.4220747,113.4220747,113.4220747,101.581,96.458,96.458,96.458,96.458,96.458,96.458,6746,14
01/03/2018,47,17052,6397,-28644,-93126,-121770,121.77,1055903.758,115.3230104,113.4220747,115.7107767,115.3230104,115.3230104,115.3230104,115.3230104,115.3230104,96.458,101.581,121.77,121.77,121.77,121.77,121.77,8317,15
01/04/2018,47,16498,6209,-27632,-87625,-115257,115.257,984889.3381,117.0253302,115.3230104,113.4220747,115.7107767,117.0253302,117.0253302,117.0253302,117.0253302,121.77,96.458,101.581,115.257,115.257,115.257,115.257,7764,15
01/05/2018,47,17500,6512,-33737,-108095,-141832,141.832,1299988.795,109.1024788,117.0253302,115.3230104,113.4220747,115.7107767,109.1024788,109.1024788,109.1024788,115.257,121.77,96.458,101.581,141.832,141.832,141.832,10161,14
01/06/2018,46,16911,6344,-32552,-107606,-140158,140.158,1215572.951,115.3020062,109.1024788,117.0253302,115.3230104,113.4220747,115.7107767,115.3020062,115.3020062,141.832,115.257,121.77,96.458,101.581,140.158,140.158,9538,15
01/07/2018,46,18024,6729,-30376,-99466,-129842,129.842,1134016.013,114.4975013,115.3020062,109.1024788,117.0253302,115.3230104,113.4220747,115.7107767,114.4975013,140.158,141.832,115.257,121.77,96.458,101.581,129.842,8888,15
01/08/2018,46,18129,6765,-32418,-112419,-144837,144.837,1275699.219,113.5353835,114.4975013,115.3020062,109.1024788,117.0253302,115.3230104,113.4220747,113.5353835,129.842,140.158,141.832,115.257,121.77,96.458,144.837,10063,14
01/09/2018,47,17532,6544,-29383,-86208,-115591,115.591,980279.6863,117.9163474,113.5353835,114.4975013,115.3020062,109.1024788,117.0253302,115.3230104,117.9163474,144.837,129.842,140.158,141.832,115.257,121.77,115.591,7763,15
01/10/2018,47,17917,6708,-26720,-85818,-112538,112.538,1055823.854,106.5878551,117.9163474,113.5353835,114.4975013,115.3020062,109.1024788,117.0253302,106.5878551,115.591,144.837,129.842,140.158,141.832,115.257,112.538,8101,14
01/11/2018,47,17211,6439,-27188,-91248,-118436,118.436,1058006.143,111.9426392,106.5878551,117.9163474,113.5353835,114.4975013,115.3020062,109.1024788,111.9426392,112.538,115.591,144.837,129.842,140.158,141.832,118.436,8036,15
01/12/2018,47,17744,6581,-25872,-80621,-106493,106.493,1031457.703,103.2451449,111.9426392,106.5878551,117.9163474,113.5353835,114.4975013,115.3020062,103.2451449,118.436,112.538,115.591,144.837,129.842,140.158,106.493,7934,13
01/01/2019,48,18146,6614,-24073,-79170,-103243,103.243,908743.8303,113.610675,103.2451449,111.9426392,106.5878551,117.9163474,113.5353835,114.4975013,115.7107767,106.493,118.436,112.538,115.591,144.837,129.842,101.581,7054,15
01/02/2019,47,16966,6051,-22383,-72691,-95074,95.074,838131.5005,113.4356601,113.610675,103.2451449,111.9426392,106.5878551,117.9163474,113.5353835,113.4220747,103.243,106.493,118.436,112.538,115.591,144.837,96.458,6497,15
01/03/2019,48,17903,6513,-26222,-84040,-110262,110.262,1003710.491,109.8543863,113.4356601,113.610675,103.2451449,111.9426392,106.5878551,117.9163474,115.3230104,95.074,103.243,106.493,118.436,112.538,115.591,121.77,7738,14
01/04/2019,46,17213,6323,-30772,-85780,-116552,116.552,1078189.416,108.0997441,109.8543863,113.4356601,113.610675,103.2451449,111.9426392,106.5878551,117.0253302,110.262,95.074,103.243,106.493,118.436,112.538,115.257,8119,14
01/05/2019,46,18006,6687,-34482,-107192,-141674,141.674,1268438.036,111.6916996,108.0997441,109.8543863,113.4356601,113.610675,103.2451449,111.9426392,109.1024788,116.552,110.262,95.074,103.243,106.493,118.436,141.832,9557,15
01/06/2019,46,17892,6618,-31572,-100235,-131807,131.807,1146871.682,114.927417,111.6916996,108.0997441,109.8543863,113.4356601,113.610675,103.2451449,115.3020062,141.674,116.552,110.262,95.074,103.243,106.493,140.158,8690,15
01/07/2019,45,19005,6981,-34273,-100446,-134719,134.719,1215747.717,110.8116413,114.927417,111.6916996,108.0997441,109.8543863,113.4356601,113.610675,114.4975013,131.807,141.674,116.552,110.262,95.074,103.243,129.842,9146,15
01/08/2019,46,19118,7015,-33528,-98993,-132521,132.521,1242795.147,106.6314109,110.8116413,114.927417,111.6916996,108.0997441,109.8543863,113.4356601,113.5353835,134.719,131.807,141.674,116.552,110.262,95.074,144.837,9443,14
01/09/2019,46,18482,6779,-27300,-85066,-112366,112.366,997541.6913,112.6429111,106.6314109,110.8116413,114.927417,111.6916996,108.0997441,109.8543863,117.9163474,132.521,134.719,131.807,141.674,116.552,110.262,115.591,7588,15
01/10/2019,47,18923,6977,-29274,-89706,-118980,118.98,1108165.862,107.3665993,112.6429111,106.6314109,110.8116413,114.927417,111.6916996,108.0997441,106.5878551,112.366,132.521,134.719,131.807,141.674,116.552,112.538,8398,14
01/11/2019,46,18088,6707,-24143,-76973,-101116,101.116,1009818.045,100.1328907,107.3665993,112.6429111,106.6314109,110.8116413,114.927417,111.6916996,111.9426392,118.98,112.366,132.521,134.719,131.807,141.674,118.436,7593,13
01/12/2019,46,18672,6865,-26674,-72877,-99551,99.551,1062562.393,93.68955708,100.1328907,107.3665993,112.6429111,106.6314109,110.8116413,114.927417,103.2451449,101.116,118.98,112.366,132.521,134.719,131.807,106.493,8036,12
01/01/2020,47,19079,6905,-24878,-79513,-104391,104.391,946803.6788,110.2562256,93.68955708,100.1328907,107.3665993,112.6429111,106.6314109,110.8116413,113.610675,99.551,101.116,118.98,112.366,132.521,134.719,103.243,7182,15
01/02/2020,47,18332,6506,-21780,-69690,-91470,91.47,840985.8994,108.7652005,110.2562256,93.68955708,100.1328907,107.3665993,112.6429111,106.6314109,113.4356601,104.391,99.551,101.116,118.98,112.366,132.521,95.074,6314,14
01/03/2020,47,18472,6839,-26685,-84483,-111168,111.168,1062707.588,104.6082679,108.7652005,110.2562256,93.68955708,100.1328907,107.3665993,112.6429111,109.8543863,91.47,104.391,99.551,101.116,118.98,112.366,110.262,7942,14
01/04/2020,46,18116,6638,-23092,-61464,-84556,84.556,1032037.453,81.93113512,104.6082679,108.7652005,110.2562256,93.68955708,100.1328907,107.3665993,108.0997441,111.168,91.47,104.391,99.551,101.116,118.98,116.552,7670,11
01/05/2020,46,19865,7118,-31459,-92808,-124267,124.267,1219216.59,101.9236459,81.93113512,104.6082679,108.7652005,110.2562256,93.68955708,100.1328907,111.6916996,84.556,111.168,91.47,104.391,99.551,101.116,141.674,8979,14
01/06/2020,45,19016,6843,-40083,-125964,-166047,166.047,1319314.303,125.8585613,101.9236459,81.93113512,104.6082679,108.7652005,110.2562256,93.68955708,114.927417,124.267,84.556,111.168,91.47,104.391,99.551,131.807,9673,17
01/07/2020,46,19736,7153,-32195,-99583,-131778,131.778,1293070.079,101.9109499,125.8585613,101.9236459,81.93113512,104.6082679,108.7652005,110.2562256,110.8116413,166.047,124.267,84.556,111.168,91.47,104.391,134.719,9462,14
01/08/2020,45,19690,7240,-28348,-86405,-114753,114.753,1156053.683,99.26269144,101.9109499,125.8585613,101.9236459,81.93113512,104.6082679,108.7652005,106.6314109,131.778,166.047,124.267,84.556,111.168,91.47,132.521,8488,14
01/09/2020,46,18761,6945,-28040,-82441,-110481,110.481,1169448.165,94.47276354,99.26269144,101.9109499,125.8585613,101.9236459,81.93113512,104.6082679,112.6429111,114.753,131.778,166.047,124.267,84.556,111.168,112.366,8583,13
01/10/2020,46,19063,7024,-26970,-81889,-108859,108.859,1097436.688,99.19387718,94.47276354,99.26269144,101.9109499,125.8585613,101.9236459,81.93113512,107.3665993,110.481,114.753,131.778,166.047,124.267,84.556,118.98,8069,13
01/11/2020,47,18220,6669,-27089,-80015,-107104,107.104,1018480.555,105.1605742,99.19387718,94.47276354,99.26269144,101.9109499,125.8585613,101.9236459,100.1328907,108.859,110.481,114.753,131.778,166.047,124.267,101.116,7426,14
01/12/2020,46,18879,6864,-28634,-84651,-113285,113.285,1099674.847,103.0168147,105.1605742,99.19387718,94.47276354,99.26269144,101.9109499,125.8585613,93.68955708,107.104,108.859,110.481,114.753,131.778,166.047,99.551,8119,14
01/01/2021,47,19159,6899,-22091,-69599,-91690,91.69,869768.3318,105.4188761,103.0168147,105.1605742,99.19387718,94.47276354,99.26269144,101.9109499,110.2562256,113.285,107.104,108.859,110.481,114.753,131.778,104.391,6429,14
01/02/2021,47,17742,6249,-23531,-75909,-99440,99.44,886655.3667,112.1518052,105.4188761,103.0168147,105.1605742,99.19387718,94.47276354,99.26269144,108.7652005,91.69,113.285,107.104,108.859,110.481,114.753,91.47,6500,15
01/03/2021,45,18659,6804,-27964,-82590,-110554,110.554,1119893.135,98.71834778,112.1518052,105.4188761,103.0168147,105.1605742,99.19387718,94.47276354,104.6082679,99.44,91.69,113.285,107.104,108.859,110.481,111.168,7987,14
01/04/2021,45,18473,6670,-27424,-93869,-121293,121.293,1145162.766,105.9176945,98.71834778,112.1518052,105.4188761,103.0168147,105.1605742,99.19387718,81.93113512,110.554,99.44,91.69,113.285,107.104,108.859,84.556,8146,15
01/05/2021,45,19322,6921,-29576,-91298,-120874,120.874,1184750.845,102.024827,105.9176945,98.71834778,112.1518052,105.4188761,103.0168147,105.1605742,101.9236459,121.293,110.554,99.44,91.69,113.285,107.104,124.267,8462,14
01/06/2021,45,19065,6707,-31878,-93625,-125503,125.503,1315598.333,95.39613793,102.024827,105.9176945,98.71834778,112.1518052,105.4188761,103.0168147,125.8585613,120.874,121.293,110.554,99.44,91.69,113.285,166.047,9342,13
01/07/2021,44,20008,6975,-30524,-95458,-125982,125.982,1212967.641,103.8626223,95.39613793,102.024827,105.9176945,98.71834778,112.1518052,105.4188761,101.9109499,125.503,120.874,121.293,110.554,99.44,91.69,131.778,8636,15
01/08/2021,44,20149,7018,-28491,-91069,-119560,119.56,1180212.44,101.3037958,103.8626223,95.39613793,102.024827,105.9176945,98.71834778,112.1518052,99.26269144,125.982,125.503,120.874,121.293,110.554,99.44,114.753,8459,14
01/09/2021,45,19152,6684,-29165,-84435,-113600,113.6,1142427.19,99.43740921,101.3037958,103.8626223,95.39613793,102.024827,105.9176945,98.71834778,94.47276354,119.56,125.982,125.503,120.874,121.293,110.554,110.481,8183,14
01/10/2021,45,19673,6796,-25456,-77956,-103412,103.412,1054421.143,98.07466468,99.43740921,101.3037958,103.8626223,95.39613793,102.024827,105.9176945,99.19387718,113.6,119.56,125.982,125.503,120.874,121.293,108.859,7553,14
01/11/2021,45,18872,6489,-24520,-81358,-105878,105.878,1067871.729,99.14861225,98.07466468,99.43740921,101.3037958,103.8626223,95.39613793,102.024827,105.1605742,103.412,113.6,119.56,125.982,125.503,120.874,107.104,7576,14
01/12/2021,46,19631,6565,-30206,-113312,-143518,143.518,1125275.634,127.5403072,99.14861225,98.07466468,99.43740921,101.3037958,103.8626223,95.39613793,103.0168147,105.878,103.412,113.6,119.56,125.982,125.503,113.285,8084,18
01/01/2022,46,19998,6542,-20238,-65229,-85467,85.467,822065.3153,103.9661915,127.5403072,99.14861225,98.07466468,99.43740921,101.3037958,103.8626223,105.4188761,143.518,105.878,103.412,113.6,119.56,125.982,91.69,5779,15
01/02/2022,45,18332,5881,-18857,-60846,-79703,79.703,924283.8777,86.23216517,103.9661915,127.5403072,99.14861225,98.07466468,99.43740921,101.3037958,112.1518052,85.467,143.518,105.878,103.412,113.6,119.56,99.44,6350,13
01/03/2022,45,19245,6309,-25937,-53837,-79774,79.774,1131195.319,70.52186186,86.23216517,103.9661915,127.5403072,99.14861225,98.07466468,99.43740921,98.71834778,79.703,85.467,143.518,105.878,103.412,113.6,110.554,7770,10
01/04/2022,44,18877,6249,-24878,-88575,-113453,113.453,1084472.069,104.6158802,70.52186186,86.23216517,103.9661915,127.5403072,99.14861225,98.07466468,105.9176945,79.774,79.703,85.467,143.518,105.878,103.412,121.293,7398,15
01/05/2022,44,19558,6495,-28087,-82644,-110731,110.731,1235771.601,89.60474569,104.6158802,70.52186186,86.23216517,103.9661915,127.5403072,99.14861225,102.024827,113.453,79.774,79.703,85.467,143.518,105.878,120.874,8479,13
01/06/2022,44,19329,6353,-34819,-107969,-142788,142.788,1321785.216,108.0266281,89.60474569,104.6158802,70.52186186,86.23216517,103.9661915,127.5403072,95.39613793,110.731,113.453,79.774,79.703,85.467,143.518,125.503,9036,16
01/07/2022,43,20315,6639,-26956,-75602,-102558,102.558,1127613.285,90.95139389,108.0266281,89.60474569,104.6158802,70.52186186,86.23216517,103.9661915,103.8626223,142.788,110.731,113.453,79.774,79.703,85.467,125.982,7692,13
01/08/2022,43,20613,6691,-30185,-77145,-107330,107.33,1258766.313,85.26602505,90.95139389,108.0266281,89.60474569,104.6158802,70.52186186,86.23216517,101.3037958,102.558,142.788,110.731,113.453,79.774,79.703,119.56,8627,12
01/09/2022,45,19628,6382,-26445,-74564,-101009,101.009,1209175.716,83.53541896,85.26602505,90.95139389,108.0266281,89.60474569,104.6158802,70.52186186,99.43740921,107.33,102.558,142.788,110.731,113.453,79.774,113.6,8311,12
01/10/2022,43,20116,6527,-23116,-98751,-121867,121.867,1016859.127,119.8464927,83.53541896,85.26602505,90.95139389,108.0266281,89.60474569,104.6158802,98.07466468,101.009,107.33,102.558,142.788,110.731,113.453,103.412,6538,19
01/11/2022,44,19288,6240,-24249,-71817,-96066,96.066,1134019.251,84.71284762,119.8464927,83.53541896,85.26602505,90.95139389,108.0266281,89.60474569,99.14861225,121.867,101.009,107.33,102.558,142.788,110.731,105.878,7238,13
01/12/2022,44,19865,6365,-24688,-70643,-95331,95.331,1099928.148,86.67020677,84.71284762,119.8464927,83.53541896,85.26602505,90.95139389,108.0266281,127.5403072,96.066,121.867,101.009,107.33,102.558,142.788,143.518,7125,13
01/01/2023,45,20456,6210,-19672,-72309,-91981,76.4844183,1160694,104.6925338,86.67020677,84.71284762,119.8464927,83.53541896,85.26602505,90.95139389,103.9661915,95.331,96.066,121.867,101.009,107.33,102.558,85.467,6120,12
01/02/2023,46,18751,5583,-18965,-70603,-89568,71.3262147,1050765,99.19198521,104.6925338,86.67020677,84.71284762,119.8464927,83.53541896,85.26602505,86.23216517,76.4844183,95.331,96.066,121.867,101.009,107.33,79.703,6112,12
01/03/2023,43,19685,5989,-21910,-87410,-109320,71.3897526,1197868,84.62010482,99.19198521,104.6925338,86.67020677,84.71284762,119.8464927,83.53541896,70.52186186,71.3262147,76.4844183,95.331,96.066,121.867,101.009,79.774,7300.085975,9.77930299
01/04/2023,45,19309,5932,-26151,-91222,-117373,101.5290897,1138190.409,105.2667873,84.62010482,99.19198521,104.6925338,86.67020677,84.71284762,119.8464927,104.6158802,71.3897526,71.3262147,76.4844183,95.331,96.066,121.867,113.453,6944.652474,14.61975096
